resourceId,type,skills,level,minutes,purpose,accessibility
PROSE,practice,"close-reading,evidence",core,10,guided practice,"print,keyboard"
Evidence Studio,practice,"evidence,inference",core,15,evidence analysis,"keyboard,screenReader"
The Verifier,tool,"research,media",core,15,source verification,keyboard
PLERA Search,tool,research,advanced,20,research discovery,"keyboard,screenReader"
ARSHIF,tool,"citation,research",core,10,citation support,keyboard
Bazaar Art,tool,multimodal,core,20,visual composition,keyboard
KhaeClean,tool,"writing,revision",core,10,editing/revision,keyboard
